Year,"Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,378.8,410.2,156.1,82.5,24.2,893.1,100.2,2045.1
2016,412.7,464.4,179.5,94.4,25.6,1008.9,108.3,2293.8
2017,518.1,553.2,190.9,115.7,27.3,1273.8,130.5,2809.3
2018,510.5,548.6,167.6,102.5,26.7,1272.5,124.0,2752.5
2019,502.1,567.5,169.1,105.6,19.5,1250.2,100.5,2714.5
2020,104.0,115.7,30.1,20.4,1.2,244.0,21.0,536.5
2021,28.8,9.6,0.1,2, -   ,33.6,7,81.1
2022,264.8,326.4,35.0,83.0,15.4,533.4,80.5,1338.4
2023,505.7,674.0,157.6,136.1,35.8,1214.0,110.7,2833.8
