Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,17656.4,10106.2,13362.5,4165.0,2200.2,646.3,23827.5,2673.5,74637.6
2016,20142.5,10602.9,14476.1,4612.8,2424.1,657.7,25920.9,2782.8,81619.7
2017,21034.2,11446.0,14850.5,4217.0,2555.6,602.4,28141.7,2883.3,85730.8
2018,21622.8,11784.7,15188.0,3869.6,2366.3,615.6,29373.7,2861.7,87682.4
2019,22007.3,12019.2,16023.7,4047.1,2526.7,467.2,29924.4,2405.3,89421.0
2020,3144.0,2011.2,2413.0,582.5,395.1,24.0,4717.9,406.0,13693.7
2021,64.8,78.6,178.0,0.5,9.8,0.1,44.4,94.8,470.9
2022,5234.1,5603.0,7160.7,740.7,1755.8,325.9,11288.4,1703.1,33811.7
2023,14369.0,10574.6,16290.8,3295.1,2845.8,748.9,25387.6,2314.8,75826.5
